sisulname,sisuladdr,tel
구립중화경로복지관,서울특별시 중랑구 동일로138길 ,02-436-1390
시립성북노인종합복지관,서울특별시 성북구 종암로15길,02-929-7950
시립노원노인종합복지관,서울특별시 노원구 노원로16길 ,02-948-8540
시립용산노인종합복지관,서울특별시 용산구 독서당로11길 ,02-794-6100
서울시립강서노인종합복지관,서울특별시 강서구 화곡로61길 ,02-3664-0322
관악노인종합사회복지관 병설 관악데이케어센터,서울특별시 관악구 보라매로 ,02-888-9978
관악노인종합복지관,서울특별시 관악구 보라매로,02-888-6144
광진데이케어센터,서울특별시 광진구 군자로 ,024666248
시립서부데이케어센터,서울특별시 마포구 월드컵로36길 ,02-376-0472
가양5데이케어센터,서울특별시 강서구 양천로57길,02-2668-1623
은천요양원,서울특별시 동대문구 장한로27가길,070-4735-6845
마포데이케어센터,서울특별시 마포구 서강로 ,02-6360-0520
사랑이있는집노인요양공동생활가정,서울특별시 광진구 용마산로8마길 ,02-456-0775
구립용산노인전문요양원,서울특별시 용산구 효창원로93길 ,02-715-5540
서울노인복지센터,서울특별시 종로구 삼일대로 ,02-739-9501
서대문노인종합복지관,서울특별시 서대문구 독립문로12길 ,02-396-9988
창동어르신복지관,서울특별시 도봉구 덕릉로60차길 ,02-906-2968
구립신내노인종합복지관,서울특별시 중랑구 신내로15길,02-3421-4800
쌍문동 노인요양공동생활가정,서울특별시 도봉구 우이천로 ,02-900-4641
쌍문동어르신복지관,서울특별시 도봉구 우이천로,02-900-4641
구립영등포노인케어센터,서울특별시 영등포구 도림로 ,02-2637-3960
시립노원노인종합복지관 병설 노원데이케어센터,서울특별시 노원구 노원로16길,02-948-1532
섭리의집,서울특별시 금천구 시흥대로40길,02-803-3055
서울시립동대문노인종합복지관,서울특별시 동대문구 제기로33길 ,02-965-0565
시립성북노인종합복지관 주간보호센터,서울특별시 성북구 종암로21길,02-929-4956
구로노인종합복지관 병설 구로데이케어센터,서울특별시 구로구 새말로16길 ,02-855-1811
엘림노인복지원,서울특별시 송파구 거마로3길 ,02-3012-8004
남부실버요양센터 다솔관,서울특별시 금천구 범안로12가길 ,02-804-1957
시립서대문노인종합복지관주간보호센터,서울특별시 서대문구 독립문로8길 ,02-363-9988
중랑데이케어센터,서울특별시 중랑구 면목동 ,02-432-9996
성가정데이케어센터,서울특별시 강동구 양재대로156길 ,02-481-2217
아름다운실버홈,서울특별시 종로구 평창길 ,02-394-0461
미소노인복지센터,서울특별시 중구 마장로9길 ,032-516-2636
덕수노인복지센터,서울특별시 성북구 성북로28길 ,02-762-4262
성암장수마을,서울특별시 강동구 구천면로68길 ,02-489-2081
강남데이케어센터,서울특별시 강남구 삼성로 ,02-549-8488
방학동어르신복지관,서울특별시 도봉구 시루봉로15라길 ,02-3491-4651
동작데이케어센터,서울특별시 동작구 상도로11길 ,02-824-2415
종로노인종합복지관,서울특별시 종로구 율곡로19길 ,02-742-9500
목련데이케어센터,서울특별시 강남구 개포로 ,02-3412-2226
e-포근한 요양원,서울특별시 강북구 도봉로 ,02-989-9987
성동노인종합복지관,서울특별시 성동구 마조로,02-2298-5117
도봉노인종합복지관 주간보호센터,서울특별시 도봉구 도당로2길,02-993-9900
용산데이케어센터,서울특별시 용산구 독서당로11길 ,02-794-6100
구립영등포노인종합복지관,서울특별시 영등포구 도림로,02-2068-5326
사)한국한아름복지회 재가노인지원센터,서울특별시 강남구 개포로24길,02-573-7943
방학동 노인요양공동생활가정,서울특별시 도봉구 시루봉로15라길 ,02-3491-4651
구립영등포노인종합복지관병설데이케어센터,서울특별시 영등포구 도림로 ,02-2068-5326
성동치매주간보호센터,서울특별시 성동구 마장동,02-2298-5177
양천어르신종합복지관병설양천데이케어센터,서울특별시 양천구 목동로3길 ,02-2649-9814
시립은평노인종합복지관 은평데이케어센터,서울특별시 은평구 연서로 ,02-385-1351
노인통합지원센터,서울특별시 강남구 봉은사로24길,02-557-8091
청파노인복지센터,서울특별시 용산구 청파로83길 ,02-703-6011
시립강동노인복지관 데이케어센터,서울특별시 강동구 동남로71길,02-426-2048
동대문노인종합복지관병설주간보호센터,서울특별시 동대문구 제기로33길 ,02-3295-1843
구립여의도원광데이케어센터,서울특별시 영등포구 여의대방로68길 ,02-782-4438
강서노인복지관데이케어센터,서울특별시 강서구 화곡로61길 ,070-7090-5451
양천 사랑마루,서울특별시 양천구 곰달래로6길 ,02-2699-3275
서울성모원 노인요양공동생활가정,서울특별시 영등포구 대림로12가길 ,02-831-9311
성모노인복지센터,서울특별시 서초구 도구로 ,02-3474-2284
효노인복지센터,서울특별시 강북구 오현로 ,02-946-1313
효노인복지센터,서울특별시 강북구 오현로 ,02-946-1313
시니어스 너싱홈,서울특별시 강서구 화곡로68길 ,02-3660-7630
서울시니어스타워(주)가양본부,서울특별시 강서구 화곡로68길 ,02-3660-7700
강북노인복지센터,서울특별시 강북구 도봉로67길 ,02-981-5004
한마음노인전문요양원,서울특별시 강서구 초록마을로14길 ,02-2065-2536
붓다마을,서울특별시 은평구 연서로48길 ,02-3156-7500
참사랑노인요양센터,서울특별시 강북구 오현로 ,02-981-1212
민영요양센터,서울특별시 강북구 삼양로 ,02-987-7600
역삼노인복지센터,서울특별시 강남구 도곡로27길,02-501-5674
아차산노인복지센터,서울특별시 광진구 긴고랑로 ,02-444-2280
수실버간호센터,서울특별시 송파구 성내천로 ,02-448-8400
노원실버데이케어센터,서울특별시 노원구 동일로 ,02-979-2476
시립강북노인종합복지관병설 강북노인주간보호센터,서울특별시 강북구 삼양로92길 ,02-992-6784
방학동밀알데이케어센터,서울특별시 도봉구 해등로 ,02-955-6090
구립 역삼노인요양센터,서울특별시 강남구 도곡로27길 ,02-501-5674
구립서대문데이케어센터,서울특별시 서대문구 홍지문2길 ,02-392-3080
신목동 노인복지센터,서울특별시 양천구 중앙로,02-2698-6677
서초구립중앙노인종합복지관,서울특별시 서초구 서초대로54길 ,02-3474-6080
로뎀노인요양공동생활가정,서울특별시 중랑구 동일로169길 ,02-973-4404
신목행복자리 데이케어센터,서울특별시 양천구 신목로 ,02-2643-6645
진각노인요양센터,서울특별시 성북구 화랑로13길 ,02-942-0194
시온노인요양원,서울특별시 은평구 갈현로,02-353-5847
구립 역삼데이케어센터,서울특별시 강남구 도곡로27길 ,02-501-5684
우리모두재가노인지원센터,서울특별시 종로구 지봉로12나길 ,02-744-8573
열린재가노인지원서비스센터,서울특별시 광진구 천호대로,02-446-0988
명화 데이케어센터,서울특별시 강남구 광평로51길 ,02-459-2696
방이복지관,서울특별시 송파구 오금로11길 ,02-3432-0477
구립양천어르신요양센터,서울특별시 양천구 신월로 ,02-2695-1620
구립양천데이케어센터,서울특별시 양천구 신월로 ,02-2695-1626
종로데이케어센터,서울특별시 종로구 지봉로13길 ,02-741-4904
미래요양원2,서울특별시 영등포구 대림로 ,02-836-8880
해피안,서울특별시 은평구 연서로15길 ,02-385-1440
서울시각장애인복지관,서울특별시 송파구 삼학사로19길 ,02-422-8108
서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길,02-840-1500
영등포재가노인복지센터,서울특별시 영등포구 대림로 ,02-833-2307
백마요양원,서울특별시 성북구 종암로18길 ,02-917-6090
노원사랑요양원1,서울특별시 노원구 동일로174길 ,02-932-2468
본마을데이케어센터,서울특별시 서초구 신원동 ,02-6933-1515
청음복지관,서울특별시 강남구 봉은사로50길,(02)556-3493
마포장애인종합복지관,서울특별시 마포구 성산로4길 ,02-306-6212
다운복지관,서울특별시 노원구 화랑로,02-3296-2114
소망데이케어센터,서울특별시 구로구 서해안로 ,02-2611-0693
도봉실버데이케어센터,서울특별시 도봉구 시루봉로 ,02-955-7135
도봉실버센터,서울특별시 도봉구 시루봉로 ,02-955-6080
강서구립 봉제산데이케어센터,서울특별시 강서구 화곡동 ,02-2605-1553
사단법인 한국씨니어연합 동작재가노인지원센터,서울특별시 동작구 동작대로7길 ,02-815-5228
굿모닝케어노인전문요양원,서울특별시 송파구 성내천로16길 ,02-401-5075
므두셀라실버타운,서울특별시 광진구 능동로 ,02-2201-8259
주사랑노인종합복지센터,서울특별시 노원구 광운로 ,02-919-0288
주사랑단기보호센터,서울특별시 노원구 광운로 ,02-910-7334
진각재가노인지원센터,서울특별시 성북구 화랑로 ,02-911-1086
인덕재가노인복지센터,서울특별시 은평구 연서로48길 ,02-385-8181
인덕데이케어센터,서울특별시 은평구 연서로48길 ,02-385-8181
중구재가노인지원센터,서울특별시 중구 퇴계로88길 ,02-2238-8017
한세노인복지센터,서울특별시 중랑구 신내로 ,02-438-1020
영화데이케어센터,서울특별시 광진구 동일로 ,02-497-8252
연희데이케어센터,서울특별시 서대문구 성산로 ,02-333-9910
해피엘노인복지센터,서울특별시 광진구 자양로13길 ,02-3436-3477
연궁너싱홈,서울특별시 서대문구 증가로 ,02-323-4333
동대문노인종합복지관 부설 구립명성데이케어센터,서울특별시 동대문구 무학로28길,02-926-2030
예덕너싱홈,서울특별시 양천구 중앙로 ,02-2647-9632
상록재가노인지원센터,서울특별시 관악구 남현길,02-521-7097
민들레데이케어센터,서울특별시 송파구 성내천로 ,02-448-0166
강동구립 해공데이케어센터,서울특별시 강동구 천중로17길 ,02-478-0601
강동구립 해공노인복지관,서울특별시 강동구 천중로17길,02-478-0601
신명데이케어센터,서울특별시 은평구 증산로15길,02-303-0049
구립신사노인복지관,서울특별시 은평구 증산로15길 ,02-302-0303
함춘요양원,서울특별시 서초구 논현로1길 ,02-575-1850
구립재영데이케어센터,서울특별시 동작구 노량진로6다길 ,02-822-5119
보현데이케어센터,서울특별시 종로구 평창4길,02-394-5511
노원사랑요양원2,서울특별시 노원구 동일로174길 ,02-977-2468
도봉노인종합복지관,서울특별시 도봉구 도당로2길 ,02-993-9900
수호데이케어센터,서울특별시 관악구 인헌길,02-6402-7763
서초노인주간보호센터,서울특별시 서초구 강남대로30길 ,02-578-1517
염리재가노인복지센터,서울특별시 마포구 숭문길 ,02-718-7895
성가정노인종합복지관,서울특별시 강동구 양재대로156길 ,02-481-2217
녹번실버,서울특별시 은평구 통일로57길 ,02-389-7875
시니어캐슬 클라시온,서울특별시 은평구 은평로21길,07073278204
원광장애인종합복지관,서울특별시 중랑구 신내로,02)438-2691
아현실버복지관,서울특별시 마포구 환일길,02-312-2161
서울특별시북부노인보호전문기관,서울특별시 강북구 노해로 ,02-921-1389
구립화원데이케어센터,서울특별시 구로구 벚꽃로 ,02-837-0761
금천노인종합복지관,서울특별시 금천구 시흥대로51길 ,02-804-4058
마포노인종합복지관,서울특별시 마포구 서강로,02-333-1040
케어콜,서울특별시 강서구 강서로5나길 ,02-2692-8888
구립송파노인요양센터,서울특별시 송파구 충민로 ,02-415-0056
(사)굿하트 전문사례관리 강동재가센터,서울특별시 강동구 천호대로198길 ,02-442-7090
(사)굿하트 전문사례관리 동작재가센터,서울특별시 동작구 양녕로28길 ,02-3472-7090
광진노인종합복지관,서울특별시 광진구 군자로,02-466-6242
미성요양원,서울특별시 관악구 난곡로63가길 ,02-856-8009
베스트그린요양원2호점,서울특별시 중랑구 동일로 ,02-438-1602
성프란치스꼬장애인종합복지관,서울특별시 구로구 남부순환로105라길,02-830-6500
성모자애복지관,서울특별시 강남구 헌릉로757길,0234119581
강남구립 대치노인복지센터,서울특별시 강남구 역삼로69길,02-564-0108
아름다운뜰안에 요양원,서울특별시 종로구 평창21길 ,02-396-0461
아현실버데이케어센터,서울특별시 마포구 환일길,02-312-2161
역촌데이케어센터,서울특별시 은평구 연서로3나길,02-385-9500
구립대치데이케어센터,서울특별시 강남구 역삼로69길,02-564-0108
노원사랑요양원3,서울특별시 노원구 동일로174길 ,02-977-2468
강남구립 강남시니어플라자,서울특별시 강남구 봉은사로 ,02-511-8669
구립대치노인요양센터,서울특별시 강남구 역삼로69길 ,02-564-0108
금천호암노인종합복지관,서울특별시 금천구 독산로72길 ,02-853-7203
모니카의 집,서울특별시 광진구 자양로33길 ,024553593
중앙소규모요양시설'나'형,서울특별시 서대문구 서소문로 ,0234729191
행복요양원,서울특별시 구로구 경인로23길 ,02-855-4822
사단법인 여명복지회 여명재가노인지원센터,서울특별시 중랑구 동일로160길 ,02-976-2808
흑석데이케어센터,서울특별시 동작구 흑석한강로 ,02-825-0511
우리마포복지관,서울특별시 마포구 신촌로26길,023581000
법화노인요양원,서울특별시 관악구 법원단지길 ,02-855-0202
보라매요양원 3호점,서울특별시 동작구 보라매로 ,028110055
굿하트 금천재가노인지원센터,서울특별시 금천구 시흥대로,02-805-7090
마포노인복지센터(데이케어센터),서울특별시 마포구 만리재옛12길 ,027123633
우영가정봉사원파견센터재가노인복지센터,서울특별시 종로구 김상옥로 ,070-7521-4653
구립성수1가2동서울숲데이케어센터,서울특별시 성동구 왕십리로5길 ,02-464-4477
쟌쥬강의 집,서울특별시 강서구 까치산로14길 ,0226022472
자애로운 성모의 집,서울특별시 도봉구 우이천로38마길,029907374
정동상림원,서울특별시 중구 정동길 ,027733477
늘편한요양센터2호,서울특별시 강동구 구천면로,024743135
서초어르신행복e음센터,서울특별시 서초구 방배중앙로 ,02-544-9544
온수어르신복지관,서울특별시 구로구 부일로9길 ,02)3666-8750
공릉어르신복지센터,서울특별시 노원구 공릉로 ,029486274
강서구립곰달래어르신복지센터,서울특별시 강서구 화곡동 ,02-2699-8264
(구립)마포어르신돌봄통합센터,서울특별시 마포구 토정로,02-325-3850
실버캐슬,서울특별시 금천구 시흥대로,028050533
은빛 천사의 집,서울특별시 송파구 감이남로 ,02-3402-1005
거목실버홈,서울특별시 강북구 한천로,029047782
거목요양홈,서울특별시 강북구 한천로,029047782
노원구 어르신돌봄지원센터,서울특별시 노원구 상계로23길,029355000
행복한세상복지센터,서울특별시 강동구 구천면로57길 ,0264053452
상암 카이져팰리스 클래식,서울특별시 마포구 월드컵북로47길 ,023728880
구로어르신돌봄통합센터,서울특별시 구로구 디지털로27다길 ,02-762-0710
금천구립사랑채요양원,서울특별시 금천구 금하로 ,02-2068-7522
구로노인종합복지관,서울특별시 구로구 새말로16길 ,02-838-4600
맑은샘요양원,서울특별시 동대문구 한천로37길 ,0222442552
맑은샘단기보호센터,서울특별시 동대문구 한천로37길 ,0222442552
노블케어스,서울특별시 은평구 응암로 ,02-391-0006
수노인요양공동생활가정2호점,서울특별시 도봉구 도당로 ,0234946786
면목요양원,서울특별시 중랑구 상봉로 ,02-2242-8080
선화요양원,서울특별시 강서구 등촌로 ,0226551888
두레노인요양원C,서울특별시 중랑구 신내로 ,0222077500
효심원 노인요양공동생활가정,서울특별시 중구 청구로17길 ,02-2254-0833
중앙실버노인요양공동생활가정,서울특별시 서대문구 충정로4길 ,023629263
은평어르신돌봄통합지원센터,서울특별시 은평구 연서로13길 ,02-389-9712
참빛요양센터,서울특별시 도봉구 도봉로141길 ,070-4617-1727
동행데이케어센터,서울특별시 성북구 오패산로1길 ,029218639
왕십리도선동노인복지센터,서울특별시 성동구 마장로,0269250456
청화요양원,서울특별시 성북구 서경로 ,029422255
샬렘요양원,서울특별시 마포구 서강로1길 ,023337599
샬렘재가노인복지센터,서울특별시 마포구 서강로1길,02-333-7599
왕십리도선동노인복지센터 병설 데이케어센터,서울특별시 성동구 마장로,02-6925-7117
참조은재가복지센타,서울특별시 노원구 월계로55길 ,02)954-1818
가원노인요양공동생활가정1호점,서울특별시 도봉구 방학로,02-956-9882
구산데이케어센터,서울특별시 은평구 연서로13길,02-353-0840
보문요양원,서울특별시 성북구 인촌로7길 ,029601123
세검정실버홈,서울특별시 종로구 평창2길,02-391-7936
양원사랑데이케어센터,서울특별시 중랑구 양원역로16길,024330205
가원노인요양공동생활가정2호점,서울특별시 도봉구 방학로 ,02-956-9883
대림실버1 노인요양공동생활가정,서울특별시 영등포구 디지털로 ,028321107
대림실버2 노인요양공동생활가정,서울특별시 영등포구 디지털로 ,02-849-8775
케어콜요양원,서울특별시 강서구 강서로5나길 ,02-2692-8888
늘푸른요양원2호점,서울특별시 중랑구 용마산로 ,024320410
서울특별시립강동노인종합복지관,서울특별시 강동구 동남로71길,02-442-1026
구립북가좌데이케어센터,서울특별시 서대문구 증가로20길 ,023763080
동소문데이케어센터,서울특별시 성북구 동소문로11길 ,029267273
미소들주야간보호센터,서울특별시 구로구 고척로21나길 ,02-2067-9021
미소들실버케어센터,서울특별시 구로구 고척로21나길,0220679021
노블타운 요양원,서울특별시 은평구 서오릉로 ,02-387-2200
도봉효드림요양원,서울특별시 도봉구 마들로13길 ,029005151
서울숲 요양원,서울특별시 성동구 뚝섬로 ,0262047227
구로푸른요양원,서울특별시 구로구 개봉로3길 ,02-1544-6572
수요양원,서울특별시 노원구 동일로237다길 ,02-936-1231
보눔케어요양원,서울특별시 송파구 가락로 ,024133275
광진소규모요양시설,서울특별시 광진구 자양로51길 ,02-499-1515
광진어르신복지센터,서울특별시 광진구 자양로51길 ,02-499-1515
송파복지센터,서울특별시 송파구 충민로 ,02-409-1616
청운데이케어센터,서울특별시 동작구 국사봉1길 ,02-823-3855
거목노인요양원,서울특별시 강북구 한천로 ,02-904-7782
한마음너싱홈,서울특별시 성동구 용답중앙길 ,02-2215-0174
평화행복한데이케어센터,서울특별시 노원구 노원로 ,02-949-0123
청운실버데이케어센터,서울특별시 종로구 자하문로28길 ,02-730-4966
시립중계노인전문요양원병설데이케어센터,서울특별시 노원구 섬밭로,02-3399-7560
송파버들데이케어센터,서울특별시 송파구 충민로 ,02-409-1617
신목행복자리어르신요양센터,서울특별시 양천구 신목로 ,02-2643-6645
남산실버복지센터,서울특별시 중구 동호로5길,02-2238-9941
(주)도봉늘푸른요양원,서울특별시 도봉구 방학로 ,02-3492-0550
강동구립 쉼터데이케어센터,서울특별시 강동구 올림픽로89길,02-479-0201
구립응암노인복지관,서울특별시 은평구 응암로21가길,02-355-2997
행복한 집,서울특별시 강서구 개화동로11길 ,02-2662-1815
그랜드너싱홈,서울특별시 강동구 양재대로 ,02-472-0998
길음안나의집 노인전문요양원,서울특별시 성북구 길음로9길 ,02-940-3500
길음안나데이케어센터,서울특별시 성북구 길음로9길 ,02-940-3510
대길홈케어센터,서울특별시 영등포구 영등포로84길 ,02-831-9909
나이팅게일너싱홈,서울특별시 양천구 오목로 ,02-978-5910
정릉데이케어센터,서울특별시 성북구 솔샘로 ,02-916-0204
보람의집,서울특별시 양천구 목동로23길 ,02-2605-1666
광진한울촌노인요양시설,서울특별시 광진구 군자로 ,02-464-4511
정성노인요양원,서울특별시 동작구 보라매로 ,02-822-8636
시립송파노인전문요양원,서울특별시 송파구 백제고분로32길 ,02-2202-8733
상도데이케어센터,서울특별시 동작구 상도로39가길 ,02-824-6018
부모섬김노인요양원,서울특별시 성북구 오패산로 ,02-941-8890
홍은노인요양시설,서울특별시 서대문구 홍은중앙로9길 ,02-391-1355
한보리노인요양센타,서울특별시 관악구 난향길 ,02-830-0678
망원데이케어센터,서울특별시 마포구 월드컵로11길 ,02-325-9719
구립영등포노인케어센터 병설 엘림데이케어센터,서울특별시 영등포구 도림로,02-2637-3970
로뎀복지요양원,서울특별시 금천구 시흥대로59길 ,02-802-9012
흰돌장기요양센터1호점,서울특별시 강동구 구천면로,02-481-6562
실버캐슬 요양센터,서울특별시 금천구 시흥대로 ,02-805-0533
관악노인종합사회복지관 병설 관악치매전문요양센터,서울특별시 관악구 보라매로 ,02-888-6958
노원효사랑요양원,서울특별시 노원구 동일로173가길 ,02-979-3225
청담노인복지센터,서울특별시 금천구 금하로29길 ,070-4680-2460
임원요양원,서울특별시 금천구 독산로 ,02-852-1153
백산실버홈,서울특별시 서대문구 모래내로,02-307-7796
마포노인복지센터(노인요양),서울특별시 마포구 만리재옛12길 ,02-712-3633
성심복지센터,서울특별시 동대문구 망우로 ,02-2243-2303
은파요양원,서울특별시 동대문구 한천로 ,02-2212-3712
은나무요양원,서울특별시 동대문구 한천로 ,02-2212-3712
중화데이케어센터,서울특별시 중랑구 동일로138길 ,02-436-1390
로뎀요양원,서울특별시 은평구 통일로72길 ,02-357-6113
금호노인요양원,서울특별시 성동구 금호동4가,02-2294-3515
한사랑실버센터2호점,서울특별시 강동구 양재대로 ,02-482-6400
축복재가장기노인요양원,서울특별시 중랑구 용마산로 ,02-493-4497
보사노인복지센터(데이케어),서울특별시 마포구 동교로 ,02-3273-6692
참노인요양원(공동생활가정),서울특별시 영등포구 가마산로 ,02-833-6886
주현노인요양원,서울특별시 영등포구 가마산로 ,02-833-6446
수실버간호센터,서울특별시 송파구 성내천로 ,02-448-8400
