sisulname,sisuladdr,tel,kind
시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23,02-3156-6699,장애인지역사회재활시설
승가원행복마을,서울특별시 성북구 개운사2길 13,02-921-6410,장애인거주시설
라온클린패밀리,서울특별시 강동구 고덕로 295-45,02-3427-0876,장애인직업재활시설
용산구립장애인주간보호센터,서울특별시 용산구 한강대로 331,02-701-4282,장애인지역사회재활시설
두레네집공동생활가정,서울특별시 관악구 법원단지길 97-3,02-866-6155,장애인거주시설
중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55,02-977-8291,장애인직업재활시설
송파인성장애인종합복지관,서울특별시 송파구 마천로61길 26,02-431-8881,장애인지역사회재활시설
사랑의복지관,서울특별시 서초구 강남대로65길 19,070-7727-2520,장애인지역사회재활시설
성북장애인복지관,서울특별시 성북구 화랑로 130,02-915-9200,장애인지역사회재활시설
한빛맹아원,서울특별시 강북구 삼양로73가길 47,02-989-6017,장애인거주시설
하누리주간보호센터,서울특별시 금천구 시흥대로2길 57,02-802-8024,장애인지역사회재활시설
헬렌켈러의집단기거주시설,서울특별시 강북구 삼양로91가길 8,02-980-1791,장애인거주시설
헬렌켈러의집 주간보호,서울특별시 강북구 삼양로80길 7,02-980-1791,장애인지역사회재활시설
다니엘사랑이용센터,서울특별시 서초구 헌릉로468길 21-16,02-525-2536,장애인지역사회재활시설
다니엘의 집 3호,서울특별시 서초구 신반포로43길 23-10,02-525-2536,장애인거주시설
다솜장애인공동생활가정,서울특별시 서대문구 가재울로6길 16,02-303-0867,장애인거주시설
아이티장애인공동생활가정,서울특별시 서대문구 연희로41길 61-0,02-326-0862,장애인거주시설
다솜장애인주간보호센터,서울특별시 서대문구 증가로4길 53,02-372-4120,장애인지역사회재활시설
신목장애인주간보호시설,서울특별시 양천구 신목로 5,02-2643-7221,장애인지역사회재활시설
디딤자리,서울특별시 강북구 덕릉로12길 13,02-987-6009,장애인거주시설
너울자리,서울특별시 강동구 동남로85길 15,02-442-8666,장애인거주시설
보금자리,서울특별시 강동구 동남로85길 15,02-428-8665,장애인거주시설
하늘자리공동생활가정,서울특별시 강동구 동남로85길 15,02-441-3472,장애인거주시설
주바라기 해피홈,서울특별시 도봉구 도봉로169가길 45,02-3492-9135,장애인지역사회재활시설
동천하우스1,서울특별시 노원구 동일로237바길,029376212,장애인거주시설
동천하우스2,서울특별시 노원구 한글비석로24바길 ,02-933-7405,장애인거주시설
해맑음보호작업시설,서울특별시 노원구 동일로 1097,02-949-6739,장애인직업재활시설
강북구수어통역센터,서울특별시 강북구 도봉로 388,02-990-0872,장애인지역사회재활시설
사랑의집 공동생활가정,서울특별시 노원구 동일로193길 8,02-973-1484,장애인거주시설
